site,url,currentClicks,previousClicks,currentImpressions,previousImpressions,inspectionStatus,action
network,https://network.madabase.com/guides/bulk-ethernet-cable-reels-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/cloud-managed-access-points-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/coax-cable-testers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/coax-compression-tools-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/ethernet-inline-couplers-buying-guide,0,0,0,0,URL is unknown to Google,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/ethernet-network-taps-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/fiber-cleaning-kits-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/fiber-optic-patch-cables-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/fiber-optic-power-meters-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/fiber-visual-fault-locators-buying-guide,0,0,0,0,URL is unknown to Google,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/industrial-ethernet-switches-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/kvm-over-ip-extenders-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/managed-2-5gbe-switches-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/mini-ups-for-routers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/network-rack-cooling-fans-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/network-rack-shelves-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/preterminated-fiber-runs-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/rack-blanking-panels-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/rackmount-network-ups-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/serial-device-servers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/sfp28-network-switches-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/sfp28-transceivers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/wall-plate-access-points-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/waterproof-rj45-couplers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
network,https://network.madabase.com/guides/optical-time-domain-reflectometers-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
smarthome,https://smarthome.madabase.com/guides/smart-aroma-diffusers-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-bathroom-exhaust-fans-buying-guide,0,0,0,0,Duplicate without user-selected canonical,Self-canonical is present in live HTML; recheck Google-selected canonical after quota renewal before any code change.
smarthome,https://smarthome.madabase.com/guides/smart-countertop-composters-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-floor-lamps-buying-guide,0,0,1,0,not-required-has-impressions,Protect observed query signal; do not rewrite before a query-level gate.
smarthome,https://smarthome.madabase.com/guides/smart-floor-vents-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-indoor-gardens-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-ir-rf-remotes-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-landscape-spotlights-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-lever-locks-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-pathway-lights-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-peephole-cameras-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-pool-thermometers-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-radiator-valves-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-recessed-lights-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
smarthome,https://smarthome.madabase.com/guides/smart-sous-vide-cookers-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-space-heaters-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-sump-pump-monitors-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-table-lamps-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-under-cabinet-lights-buying-guide,0,0,0,0,Discovered - currently not indexed,Not indexed: preserve content and verify discovery/crawl at the next gate; do not rewrite for CTR.
smarthome,https://smarthome.madabase.com/guides/smart-wall-control-panels-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
smarthome,https://smarthome.madabase.com/guides/smart-coffee-makers-buying-guide,0,0,0,0,indexed,Indexed but no impressions: hold title; review demand and query overlap at the next gate.
